City,LinearSlope
Annapolis,0.128719385606866
Apalachicola,0.104618617388264
AtlanticCity,0.139174030160576
BarHarbor,0.0810084020753737
Beaufort,0.149563011715836
Boston,0.0957920707104221
Cambridge,0.148018073815979
CapeHatteras,0.108424909895756
CedarKey,0.0796332148185463
Charleston,0.116245707382167
ChesapeakeBayBrTun,0.197881045598132
DauphinIsland,0.147994433486831
DuckPierOutside,0.178650059316249
Eastport,0.0761511732480781
FortMyers,0.120909289664615
FortPulaski,0.120235930307923
Galveston,0.217705328262956
GrandIsle,0.30117897794331
KeyWest,0.085569651270829
KingsPoint,0.224010709309298
Kiptopeke,0.132353435257933
LakeWorthPier,0.141462015726458
LewesBreakwaterHarbor,0.123441036813141
LowerEscuminac,0.122830521287695
Montauk,0.119380328521766
Nantucket,0.136499987132057
Neuville,0.0177879541978638
NewCanalStation,0.368224905828156
NewLondon,0.0962597163817326
Newport,0.0976560064408517
NorthSydney,0.143307376091717
Pensacola,0.0890921085186387
PortAuxBasques,0.104823666257029
PortIsabel,0.143962371687426
Portland,0.0646644018199234
Providence,0.0865146302507505
ReedyPoint,0.160532712515914
Rimouski,0.0379060321129766
RiviereAuRenard,0.0536123653772946
Rockport,0.208976309024914
SandyHook,0.141371799836462
SeptIles,0.0164708229566958
SewellsPoint,0.158820159338511
SolomonsIsland,0.135670747400212
SpringmaidPier,0.120526944885361
StFrancois,0.0243289141029428
StJohns,0.0778710508217164
StJosephDeLaRive,0.00846309191174331
StPetersburg,0.104030871743924
VirginiaKey,0.216765386587002
Wilmington,0.0921295710773549
Yarmouth,0.131851540132152
